OTU,taxonomy,,,,,,,,,,,,,,,
OTU56,d__Bacteria;_k__norank;_p__Proteobacteria;_c__Betaproteobacteria;_o__Burkholderiales;_f__Alcaligenaceae;_g__Sutterella;_s__Sutterella_parvirubra,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0
OTU57,d__Bacteria;_k__norank;_p__Firmicutes;_c__Clostridia;_o__Clostridiales;_f__Ruminococcaceae;_g__norank_f__Ruminococcaceae;_s__unclassified_g__norank_f__Ruminococcaceae,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OTU58,d__Bacteria;_k__norank;_p__Proteobacteria;_c__Deltaproteobacteria;_o__Desulfovibrionales;_f__Desulfovibrionaceae;_g__Desulfovibrio;_s__unclassified_g__Desulfovibrio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU59,d__Bacteria;_k__norank;_p__Firmicutes;_c__Negativicutes;_o__Selenomonadales;_f__Veillonellaceae;_g__Veillonella;_s__unclassified_g__Veillonella,3,122,6,5,284,16,13,10,6,482,24,94,7,82,13
OTU60,d__Bacteria;_k__norank;_p__Firmicutes;_c__Negativicutes;_o__Selenomonadales;_f__Veillonellaceae;_g__Anaeroglobus;_s__uncultured_organism_g__Anaeroglobus,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU61,d__Bacteria;_k__norank;_p__Firmicutes;_c__Clostridia;_o__Clostridiales;_f__Lachnospiraceae;_g__Oribacterium;_s__uncultured_organism_g__Oribacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU62,d__Bacteria;_k__norank;_p__Firmicutes;_c__Clostridia;_o__Clostridiales;_f__Lachnospiraceae;_g__Howardella;_s__unclassified_g__Howardella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU63,d__Bacteria;_k__norank;_p__Actinobacteria;_c__Actinobacteria;_o__Rubrobacterales;_f__Rubrobacteriaceae;_g__Rubrobacter;_s__unclassified_g__Rubrobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU64,d__Bacteria;_k__norank;_p__Actinobacteria;_c__Actinobacteria;_o__Streptomycetales;_f__Streptomycetaceae;_g__Kitasatospora;_s__unclassified_g__Kitasatospora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU65,d__Bacteria;_k__norank;_p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales;_f__Prevotellaceae;_g__Prevotella;_s__Prevotella_disiens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU66,d__Bacteria;_k__norank;_p__Proteobacteria;_c__Gammaproteobacteria;_o__Xanthomonadales;_f__Xanthomonadaceae;_g__Stenotrophomonas;_s__[Pseudomonas]_geniculata_g__Stenotrophomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU67,d__Bacteria;_k__norank;_p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales;_f__Bacteroidaceae;_g__Bacteroides;_s__Bacteroides_stercoris_ATCC_43183,347,197,314,98,895,180,1753,192,942,205,644,292,154,468,261
OTU68,d__Bacteria;_k__norank;_p__Firmicutes;_c__Clostridia;_o__Clostridiales;_f__Lachnospiraceae;_g__unclassified_f__Lachnospiraceae;_s__unclassified_f__Lachnospiraceae,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
OTU69,d__Bacteria;_k__norank;_p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales;_f__Porphyromonadaceae;_g__Parabacteroides;_s__Parabacteroides_merdae,1,1,1,0,2,0,1,0,8,0,1,3,1,0,2
OTU70,d__Bacteria;_k__norank;_p__Firmicutes;_c__Clostridia;_o__Clostridiales;_f__Lachnospiraceae;_g__Anaerostipes;_s__unclassified_g__Anaerostipes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU71,d__Bacteria;_k__norank;_p__Firmicutes;_c__Negativicutes;_o__Selenomonadales;_f__Veillonellaceae;_g__Megamonas;_s__unclassified_g__Megamonas,1,6,17,2,8,1,5,2,1,0,11,0,6,1,0
OTU72,d__Bacteria;_k__norank;_p__Firmicutes;_c__Clostridia;_o__Clostridiales;_f__Ruminococcaceae;_g__[Eubacterium]_coprostanoligenes_group;_s__uncultured_organism_g__[Eubacterium]_coprostanoligenes_group,14,15,179,25,20,26,50,11,7,27,8,5,59,16,10
OTU73,d__Bacteria;_k__norank;_p__Firmicutes;_c__Clostridia;_o__Clostridiales;_f__Ruminococcaceae;_g__Ruminococcaceae_UCG-003;_s__uncultured_organism_g__Ruminococcaceae_UCG-003,14,24,41,49,30,27,82,32,9,5,39,17,22,30,96
OTU74,d__Bacteria;_k__norank;_p__Firmicutes;_c__Clostridia;_o__Clostridiales;_f__Lachnospiraceae;_g__Lachnospiraceae_NK4A136_group;_s__uncultured_organism_g__Lachnospiraceae_NK4A136_group,302,268,373,369,73,207,523,128,52,11,50,30,281,68,181
OTU75,d__Bacteria;_k__norank;_p__Firmicutes;_c__Clostridia;_o__Clostridiales;_f__Ruminococcaceae;_g__Subdoligranulum;_s__uncultured_bacterium_g__Subdoligranulum,62,62,173,133,68,73,90,44,9,68,57,14,243,59,102
OTU76,d__Bacteria;_k__norank;_p__Firmicutes;_c__Clostridia;_o__Clostridiales;_f__Lachnospiraceae;_g__unclassified_f__Lachnospiraceae;_s__unclassified_f__Lachnospiraceae,3,13,32,29,20,16,3,18,25,46,3,2,3,0,7
OTU77,d__Bacteria;_k__norank;_p__Firmicutes;_c__Clostridia;_o__Clostridiales;_f__Lachnospiraceae;_g__[Eubacterium]_fissicatena_group;_s__unclassified_g__[Eubacterium]_fissicatena_group,5,6,3,4,4,3,10,9,19,3,2,3,3,3,7
OTU78,d__Bacteria;_k__norank;_p__Firmicutes;_c__Clostridia;_o__Clostridiales;_f__Peptococcaceae;_g__unclassified_f__Peptococcaceae;_s__unclassified_f__Peptococcaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU79,d__Bacteria;_k__norank;_p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales;_f__Porphyromonadaceae;_g__Odoribacter;_s__Odoribacter_splanchnicus_DSM_20712,4,24,46,4,31,29,37,15,54,28,34,15,20,10,17
OTU80,d__Bacteria;_k__norank;_p__Proteobacteria;_c__Gammaproteobacteria;_o__Alteromonadales;_f__Shewanellaceae;_g__Shewanella;_s__Shewanella_algae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
